text,clean_text,sentiment_label
Bang kalu saham BCA dan BBRI gimana aman g?,bang kalu saham bca dan bbri gimana aman g,Neutral
Jaman dimana timoty masih ramah wkwk,jaman dimana timoty masih ramah wkwk,Positive
"Ownernya trs didelegasi ke ""sekelompok"" orang yuhuuuu😂😂",ownernya trs didelegasi ke sekelompok orang yuhu,Neutral
BANDAR SEMUA UDA DI ATUR,bandar semua uda di atur,Neutral
Saham bukan Zero Games sebab saham punya fundamental dan harga saham akan naik jika kinerjanya bagus. Jadi bukan berarti yg cuan memgambil dsri yg loss semata2 tapi cuan kita dari harga saham yg naik.,saham bukan zero games sebab saham punya fundamental dan harga saham akan naik jika kinerjanya bagus jadi bukan berarti yg cuan memgambil dsri yg loss semata2 tapi cuan kita dari harga saham yg naik,Positive
"Harga naik karena ada orang lain yang beli. Dia beli diharga yang elu jual. Dia kehilangan uang, elu dapet cuan.  ZERO SUM GAME",harga naik karena ada orang lain yang beli dia beli diharga yang elu jual dia kehilangan uang elu dapet cuan zero sum game,Neutral
@Ubiglo321 jadi salah kalo dapat cuan bang? wkwk,jadi salah kalo dapat cuan bang wkwk,Negative
Lu pada coba aja kerja di sekuritas biar ngerti seberapa gelap nya 😅,lu pada coba aja kerja di sekuritas biar ngerti seberapa gelap nya,Negative
Sampai akhirnya tomat main bitcoiiinn waccaaawww ayooo rameiin😂😂😂,sampai akhirnya tomat main bitcoinn waccaw ayo rameiin,Positive
gw bakal jadi saksi perjalanan media video lu juga perjalanan hidup lu di investasi cryptocurrency ncek. 👑,gw bakal jadi saksi perjalanan media video lu juga perjalanan hidup lu di investasi cryptocurrency ncek,Neutral
Gelap gulita tanpa sepercik sinar. Mesti hati - hati,gelap gulita tanpa sepercik sinar mesti hati hati,Negative
Sisi gelap kripto donk biar balance,sisi gelap kripto donk biar balance,Neutral
gaada,gaada,Positive
"Belvin VVIP, Bekti Sutikna dan kawan²",belvin vvip bekti sutikna dan kawan,Neutral
"dunia pasar modal ibarat danau ....dari dulu aku udah bilang, kita retail itu ibarat cuma jentik jentik nyamuk doank...di danau itu ada buaya, arwana, piranha..dimana kita siap di santap kapan pun sesuka hati mereka...  ketika jentik nyamuk kurang, mereka akan flexing di medsos kalau ajak kita masuk tanam modal di saham...biar cuan... tai lah.",dunia pasar modal ibarat danau dari dulu aku udah bilang kita retail itu ibarat cuma jentik jentik nyamuk doank di danau itu ada buaya arwana piranha dimana kita siap di santap kapan pun sesuka hati mereka ketika jentik nyamuk kurang mereka akan flexing di medsos kalau ajak kita masuk tanam modal di saham biar cuan tai lah,Positive
Bener banget emg gtu cara main nya 😂 wawasan makin terbuka kalo liat video2 begini,bener banget emg gtu cara main nya wawasan makin terbuka kalo liat video2 begini,Positive
"Saham"" ipo tu yang sering dirampok bandar, 1-2 hari aja bisa naik 100%. Tapi anehnya ada aja retail yang beli di harga ya g udah naik 100% tu, begitu dibanting langsung pada marah"" hhh.",saham ipo tu yang sering dirampok bandar 1 2 hari aja bisa naik 100 tapi anehnya ada aja retail yang beli di harga ya g udah naik 100 tu begitu dibanting langsung pada marah h,Negative
Terimakasih ko,terimakasih ko,Positive
"Sy sdh tua ,tapi sy sangat inspiratif mengenai edukasi ekonomi ini, tfimakasi atas penjelasannya.",sy sdh tua tapi sy sangat inspiratif mengenai edukasi ekonomi ini tfimakasi atas penjelasannya,Positive
"Saya angkatan corona di saham, nemu video ini....jdi malas investasi saham, yg masih ada benarnya di saham itu bagi2 deviden itupun masih di moneypulasi..... itu yg saya alami angkatan covid19 😁",saya angkatan corona di saham nemu video ini jdi malas investasi saham yg masih ada benarnya di saham itu bagi2 deviden itupun masih di moneypulasi itu yg saya alami angkatan covid19,Negative
Judi,judi,Positive
"Gue sekarang beli saham yg kasi dividen rutin & gede aja, capital again ga terlalu gue pikirin, 😅",gue sekarang beli saham yg kasi dividen rutin gede aja capital again ga terlalu gue pikirin,Neutral
Saham apa tu bang?,saham apa tu bang,Neutral
"@ragilwibowo7540 untuk sekarang emiten sawit gue mah, karna harga sawit naik terus, PNGO, SGRO, sama SMAR",untuk sekarang emiten sawit gue mah karna harga sawit naik terus pngo sgro sama smar,Neutral
"@fransiskusyusuf2142 LSIP punya salim diem bae T.T padahal funda bagus, kemarin CPO juga naek",lsip punya salim diem bae t t padahal funda bagus kemarin cpo juga naek,Positive
Bandar saham tuh pmrintah dn penguasa,bandar saham tuh pmrintah dn penguasa,Negative
ayo teman2 investasi ke saham Indonesia ajah. Secara tidak langsung kita udah sedikit membantu negara kita.  Dan maju. Jgn investasi ke luar negri yuk maju indonesia,ayo teman2 investasi ke saham indonesia ajah secara tidak langsung kita udah sedikit membantu negara kita dan maju jgn investasi ke luar negri yuk maju indonesia,Positive
Tanks timm,tanks timm,Positive
Lanjut part 2 ko,lanjut part 2 ko,Negative
"Mmg benar, umumnya owner juga ikut jadi bandarnya perusahaan tsb, tapi tidak secara langsung, dia modalin tapi tercatat lewat nama pemilik lain. Itu dijadikan seperti perusahaan yg mencari profit..OJK tidak byk berperan dlm mengawasi, jangankan bursa efek, koperasi2 yg ujungnya bawa lari uang, asuransi yg bawa lari uang nasabah, OJK baru tahu setelah terjadi. Karena mentalnya masih kerja seperti di kelurahan. Byk yg perlu direformasi di lembaga keuangan di Indonesia.",mmg benar umumnya owner juga ikut jadi bandarnya perusahaan tsb tapi tidak secara langsung dia modalin tapi tercatat lewat nama pemilik lain itu dijadikan seperti perusahaan yg mencari profit ojk tidak byk berperan dlm mengawasi jangankan bursa efek koperasi2 yg ujungnya bawa lari uang asuransi yg bawa lari uang nasabah ojk baru tahu setelah terjadi karena mentalnya masih kerja seperti di kelurahan byk yg perlu direformasi di lembaga keuangan di indonesia,Negative
Contoh nya yg paling nampak goto owner nya jualan saham sampe minus berjilid2😂,contoh nya yg paling nampak goto owner nya jualan saham sampe minus berjilid2,Negative
"Inilah kenapa gua gak percaya sama Pak Lo Khe Hong,karena beliau punya privilege dalam hal informasi A1 dibanding Investor retail pada umumnya.Kalau dia memang sehebat itu dia pasti ikut beli saham US,tapi liat dia hanya setia dengan saham dalam negeri.Karena balik lagi informasi A1.",inilah kenapa gua gak percaya sama pak lo khe hong karena beliau punya privilege dalam hal informasi a1 dibanding investor retail pada umumnya kalau dia memang sehebat itu dia pasti ikut beli saham us tapi liat dia hanya setia dengan saham dalam negeri karena balik lagi informasi a1,Positive
Dulu saya fans nya lo keng Hong tapi belum lama ini juga menyadari hal yg sama😂,dulu saya fans nya lo keng hong tapi belum lama ini juga menyadari hal yg sama,Negative
Tulll sekali,tul sekali,Negative
"Saya juga sempat fanatik sama Bennix, ternyata meski jadi ketua kultus nolan dan pujaan bocil crypto, he truly spits the fact! Saya baru main saham 3 bulan aja ngerasa BEI saat ini mau full analisa fundamental pun bakal ada permainan bandar juga terkait sentimen-sentimen yang berterbangan. Entah ya zaman Pak LKH gimana.",saya juga sempat fanatik sama bennix ternyata meski jadi ketua kultus nolan dan pujaan bocil crypto he truly spits the fact saya baru main saham 3 bulan aja ngerasa bei saat ini mau full analisa fundamental pun bakal ada permainan bandar juga terkait sentimen sentimen yang berterbangan entah ya zaman pak lkh gimana,Negative
ga bahaya tah om,ga bahaya tah om,Negative
"*Koneksi ORANG DALAM adalah andalan segala2nya di Indonesia termasuk di bursa saham Indonesia, jauh hari sebelum hari H saham digoreng, WA Group antar ordal sekuritas dan konco2nya sudah tersebar duluan.*",koneksi orang dalam adalah andalan segala2nya di indonesia termasuk di bursa saham indonesia jauh hari sebelum hari h saham digoreng wa group antar ordal sekuritas dan konco2nya sudah tersebar duluan,Positive
"kebanyakan info sesuai konteks judul nya sisi gelap dunia saham ok lah cukup menambah wawasan. tapi gw ga setuju ketika secara gamblang disebut saham itu adalah dan selalu zero sum games. ini salah dan tidak mendidik. seakan dunia saham itu totally dunia judi, semua uang yg didapat adalah karena ada orang yg kalah kehilangan uang nya. ini bisa jadi berlaku untuk penjudi2 atau trader2 yg emang saling jual beli dalam jangka pendek. itulah noise nya dunia saham yg seharusnya kita abaikan. in the long run, ada NILAI yang bertambah hasil kontribusi dari kinerja dan hasil perusahaan2 yg ada. lah saham bca yg harganya naik puluhan ribu persen dari ipo memangnya hasil dari permainan bandar dan trader2 yg jual beli doang? ya bukan, tapi karena memang kontribusi dari kinerja bagus perusahaan yang tiap tahun menghasilkan laba triliunan. kalau gue untung milyaran rupiah karena simpan saham bca, bukan karena ada orang yg kehilangan duit milyaran rupiah, tapi karena memang nilai perusahaan bertumbuh berkat kinerja nya. so jangan terlalu lebay nakut2in",kebanyakan info sesuai konteks judul nya sisi gelap dunia saham ok lah cukup menambah wawasan tapi gw ga setuju ketika secara gamblang disebut saham itu adalah dan selalu zero sum games ini salah dan tidak mendidik seakan dunia saham itu totally dunia judi semua uang yg didapat adalah karena ada orang yg kalah kehilangan uang nya ini bisa jadi berlaku untuk penjudi2 atau trader2 yg emang saling jual beli dalam jangka pendek itulah noise nya dunia saham yg seharusnya kita abaikan in the long run ada nilai yang bertambah hasil kontribusi dari kinerja dan hasil perusahaan2 yg ada lah saham bca yg harganya naik puluhan ribu persen dari ipo memangnya hasil dari permainan bandar dan trader2 yg jual beli doang ya bukan tapi karena memang kontribusi dari kinerja bagus perusahaan yang tiap tahun menghasilkan laba triliunan kalau gue untung milyaran rupiah karena simpan saham bca bukan karena ada orang yg kehilangan duit milyaran rupiah tapi karena memang nilai perusahaan bertumbuh berkat kinerja nya so jangan terlalu lebay nakut2in,Negative
Emg nya harga naik karna perusahan perusahan nya ga buang duit juga? Tetap aja anda untung perusahan nya rugi dan perusahan itu orang Jadi sama aja kalo ada orang untung ada orang rugi,emg nya harga naik karna perusahan perusahan nya ga buang duit juga tetap aja anda untung perusahan nya rugi dan perusahan itu orang jadi sama aja kalo ada orang untung ada orang rugi,Negative
"@wibiahoy9257 sy untung pegang saham bca dalam 5 tahun terakhir. Apakah bca pernah rugi dalam 5 tahun terakhir? Yg terjadi bca selalu labanya bertumbuh. Artinya perusahaan untung, saya sbg pemegang saham juga untung. Kok gimana logikanya perusahaan rugi kalo sy untung dr sahamnya? 😅",sy untung pegang saham bca dalam 5 tahun terakhir apakah bca pernah rugi dalam 5 tahun terakhir yg terjadi bca selalu labanya bertumbuh artinya perusahaan untung saya sbg pemegang saham juga untung kok gimana logikanya perusahaan rugi kalo sy untung dr sahamnya,Positive
"@wibiahoy9257 saya pegang saham bca dalam 5 tahun ini dan untung. apakah bca rugi karena saya untung dari sahamnya? bca selalu labanya tumbuh dan untung besar dalam kurun waktu 5 tahun tersebut, sebagian keuntungan nya itulah yg kita dapat juga sebagai pemegang saham bca. gimana logikanya ada orang atau perusahaan yg rugi kalo saya untungi?  saya untung dan perusahaan nya juga untung. ga ada yg rugi tuh disini, sama2 untung. so it's not a zero sum game",saya pegang saham bca dalam 5 tahun ini dan untung apakah bca rugi karena saya untung dari sahamnya bca selalu labanya tumbuh dan untung besar dalam kurun waktu 5 tahun tersebut sebagian keuntungan nya itulah yg kita dapat juga sebagai pemegang saham bca gimana logikanya ada orang atau perusahaan yg rugi kalo saya untungi saya untung dan perusahaan nya juga untung ga ada yg rugi tuh disini sama2 untung so it s not a zero sum game,Positive
Wkwk..setelah selesai dengerin kesimpulannya SAMPAH.,wkwk setelah selesai dengerin kesimpulannya sampah,Negative
ilmu bandarmology 😂😂😂 9:33,ilmu bandarmology 9 33,Neutral
"Wan anjirrr lah si bandar , thank u brotim",wan anjir lah si bandar thank u brotim,Neutral
coba tentng investasi emas bang,coba tentng investasi emas bang,Positive
Gila sih manipulasi sistem ini wkwk tapi ya begitulah rule kehidupan saham 😅 tapi dari sini kita bisa ambil hikmahnya 😮,gila sih manipulasi sistem ini wkwk tapi ya begitulah rule kehidupan saham tapi dari sini kita bisa ambil hikmahnya,Negative
"sangat setuju dengan ini, memang awalnya pribadi percaya dengan teknikal tpi setelah tauu bandar itu lebih bermain di capital market, aku jdi lebih percaya sama fundamental sebearnya walau itu jangka panjang  sama kalo mau scalping atau trading jangka pendek, lebih mikir kira kira main bandarnya gimana yaa, bukan mikir dari sisi teknikal hahaha",sangat setuju dengan ini memang awalnya pribadi percaya dengan teknikal tpi setelah tauu bandar itu lebih bermain di capital market aku jdi lebih percaya sama fundamental sebearnya walau itu jangka panjang sama kalo mau scalping atau trading jangka pendek lebih mikir kira kira main bandarnya gimana yaa bukan mikir dari sisi teknikal hahaha,Positive
keren bang,keren bang,Positive
Keren keren terbuka pikiran😂,keren keren terbuka pikiran,Positive
Kalau zero same game sih menurut gw yg trader kalau kayak value investing misalnya kayak LKH itu gak lah justru bandar yang memperkaya dia karna dia jangka lama,kalau zero same game sih menurut gw yg trader kalau kayak value investing misalnya kayak lkh itu gak lah justru bandar yang memperkaya dia karna dia jangka lama,Negative
"Kan perusahan nya juga hilang duit nya biar situ untung, dan perusahan itu di belakang nya manusia (orang) jadi tetap aja ada yg untung ada yg rugi",kan perusahan nya juga hilang duit nya biar situ untung dan perusahan itu di belakang nya manusia orang jadi tetap aja ada yg untung ada yg rugi,Negative
"orang songong itu sebetulnya bodoh,merasa diri paling pinter,,baru punya duit sedikit,beberapa/puluhan M ,udah sombong,,",orang songong itu sebetulnya bodoh merasa diri paling pinter baru punya duit sedikit beberapa puluhan m udah sombong,Negative
Ini konten yg gw tunggu2,ini konten yg gw tunggu2,Negative
"Korban dari saham trading pasti ketawa senyum senyum SMA ngangguk"" anjay",korban dari saham trading pasti ketawa senyum senyum sma ngangguk anjay,Positive
"G nyangka koh, umur segini pengetahuannya udh kaya jus pisang encer gw umur segini masih main game online... asli dipikir2 malu jadi org goblok.. hina lagi",g nyangka koh umur segini pengetahuannya udh kaya jus pisang encer gw umur segini masih main game online asli dipikir2 malu jadi org goblok hina lagi,Negative
Closing yang mantul,closing yang mantul,Negative
tipenya day trading akhirnya analisanya jadi begitu,tipenya day trading akhirnya analisanya jadi begitu,Neutral
Gini gini 7:44 itu maksudnya main pingpong pake kaca itu    Kacanya itu di tengah net gitu ya ?   Player a vs Player b   Kita berkaca sama diri sendiri gitu kan ?   Tapi kita gaktau orang yang main di belakang kita itu siapa gitu ?   Apa gimana sih,gini gini 7 44 itu maksudnya main pingpong pake kaca itu kacanya itu di tengah net gitu ya player a vs player b kita berkaca sama diri sendiri gitu kan tapi kita gaktau orang yang main di belakang kita itu siapa gitu apa gimana sih,Negative
"yap betul bang...ibaratnya lawan kita tuh bisa liat kita di balik kaca tersebut, tapi kita gak bisa liat balik siapa lawan kita yang di balik kaca tersebut...kayak kaca 1 arah",yap betul bang ibaratnya lawan kita tuh bisa liat kita di balik kaca tersebut tapi kita gak bisa liat balik siapa lawan kita yang di balik kaca tersebut kayak kaca 1 arah,Negative
Investasi saham aja jangan trading,investasi saham aja jangan trading,Positive
"bang, video* sblmnya dimana tentang lu blg cara baca PER, PBV kok gaaada, ke takedown kah?",bang video sblmnya dimana tentang lu blg cara baca per pbv kok gada ke takedown kah,Negative
"Intinya, saham itu investasi atau scam",intinya saham itu investasi atau scam,Neutral
"Omonganny terbukti benar. Contohnya goto. William tanuwijaya jual saham yg beli di harga 1 rupiah.. Gmna mau maju itu euy, manusia rakuss",omonganny terbukti benar contohnya goto william tanuwijaya jual saham yg beli di harga 1 rupiah gmna mau maju itu euy manusia rakuss,Positive
"Right,,, pemuda pemberani",right pemuda pemberani,Positive
thanks ko ilmunya,thanks ko ilmunya,Positive
"Gw tunggu bro sisi gelap kripto, gw yakin lo bakal menemukannya juga.",gw tunggu bro sisi gelap kripto gw yakin lo bakal menemukannya juga,Neutral
Keren ko. Ditunggu part2 nya,keren ko ditunggu part2 nya,Positive
mantap n kren ko ...,mantap n kren ko,Positive
Senga tapi gw suka 😅,senga tapi gw suka,Positive
Asli bahaya si ini,asli bahaya si ini,Negative
Jangan2 L*H bandar jg ?,jangan2 l h bandar jg,Negative
Sudah pasti karna dia pasti banyak informasi dari orang dalam (sebelum muncul di rti dia dah tau dluan) 😂,sudah pasti karna dia pasti banyak informasi dari orang dalam sebelum muncul di rti dia dah tau dluan,Positive
Kenapa tiap d berita ownernya beli sahamnya hrga sekian. Ini memancing ritel ikut beli. Pdhl setelahnya sahamnya turun.,kenapa tiap d berita ownernya beli sahamnya hrga sekian ini memancing ritel ikut beli pdhl setelahnya sahamnya turun,Neutral
Niat mau ninggalin saham tapi Endingnya adalah tergantung sejago apa kalian bermain 😁  Ngga jadi deh😁 lanjut deh,niat mau ninggalin saham tapi endingnya adalah tergantung sejago apa kalian bermain ngga jadi deh lanjut deh,Negative
Boleh minta wa ko,boleh minta wa ko,Neutral
"Trus buat yg terjun ke saham, caranya terbaiknya harus gimana buat yang awam koh?",trus buat yg terjun ke saham caranya terbaiknya harus gimana buat yang awam koh,Negative
"Terima kasih Tim, ilmu yang sangat penting ini.",terima kasih tim ilmu yang sangat penting ini,Positive
Intinya saham itu judi !!!. Percuma belajar analisa teknikal ataupun fundamental. Kalo ujung ujung nya bandar yang mengatur.,intinya saham itu judi percuma belajar analisa teknikal ataupun fundamental kalo ujung ujung nya bandar yang mengatur,Negative
Bisa bro kalo blue chip aman,bisa bro kalo blue chip aman,Neutral
plagiarism 👍👍,plagiarism,Positive
"Bismillaah.,, Saya sedang menyimak dan mengikuti biar Sy dapat mnjd Salah seorang wanita yang bs mmbuka lapangan kerjaan buat manusia lainnya.,,   Thanks Ko @Timothy.., May Allah bless u and protect u Aameen.,,",bismillaah saya sedang menyimak dan mengikuti biar sy dapat mnjd salah seorang wanita yang bs mmbuka lapangan kerjaan buat manusia lainnya thanks ko may allah bless u and protect u aameen,Positive
Kamu ngesaham di aplikasi apa,kamu ngesaham di aplikasi apa,Negative
Untuk investasi pake apk apa,untuk investasi pake apk apa,Neutral
Bang bahas tentang permainan Bandar FOREX YANG LEGAL DONG PLEASE!,bang bahas tentang permainan bandar forex yang legal dong please,Neutral
"Bang lu kan dari yg gua perhatiin punya misi untuk merubah mindset org menjadi pengusaha jangan jadi karyawan org ,,,nah tolong donk buktiin dan buat dalam satu video...yg intinya usha yg sedang abang jalaanin terus income perbulan dari tiap perusahaan ... Agar bukan hanya sekedar teori melainkan kita ada gambaran untuk praktekan apa yg lu praktekan juga 👍👍👍",bang lu kan dari yg gua perhatiin punya misi untuk merubah mindset org menjadi pengusaha jangan jadi karyawan org nah tolong donk buktiin dan buat dalam satu video yg intinya usha yg sedang abang jalaanin terus income perbulan dari tiap perusahaan agar bukan hanya sekedar teori melainkan kita ada gambaran untuk praktekan apa yg lu praktekan juga,Negative
"Bismillah, semoga Ko Timothy Ronald dapat hidayah masuk Islam seperti Andrew Tate (Dalam pengumumannya, dia mengungkapkan alasannya masuk Islam dengan mengatakan bahwa setiap orang Kristen yang percaya pada kebaikan dan memahami perang melawan kejahatan harus masuk Islam. )",bismillah semoga ko timothy ronald dapat hidayah masuk islam seperti andrew tate dalam pengumumannya dia mengungkapkan alasannya masuk islam dengan mengatakan bahwa setiap orang kristen yang percaya pada kebaikan dan memahami perang melawan kejahatan harus masuk islam,Positive
saham bisa mc gk .??,saham bisa mc gk,Neutral
"Umur lu sekarang berapa sihh?? 20, 23 atau berapa?? Perasaan setiap video beda beda umur nya",umur lu sekarang berapa sihh 20 23 atau berapa perasaan setiap video beda beda umur nya,Negative
wah saya gk ketemu di tempat lain,wah saya gk ketemu di tempat lain,Negative
"Singkatnya, investasi itu adalah permainan satu lawan satu, dengan musuh yang tak diketahui. Bisa aja dia sama2 pemula kyk lo, atau bahkan pro player.",singkatnya investasi itu adalah permainan satu lawan satu dengan musuh yang tak diketahui bisa aja dia sama2 pemula kyk lo atau bahkan pro player,Negative
keren,keren,Positive
"setuju di indonesia , marketnya g efisien , emitten masih bisa bandari sahamnya , sdh ipo dapat duit , sahamnya pun masih dbandari , beda m d usa marketny lbh efisien",setuju di indonesia marketnya g efisien emitten masih bisa bandari sahamnya sdh ipo dapat duit sahamnya pun masih dbandari beda m d usa marketny lbh efisien,Positive
"Pintar penjelasannya dan clear, masuk ke sesuatu pelajari ilmunya tanpa ilmu pasti bleeding and loss",pintar penjelasannya dan clear masuk ke sesuatu pelajari ilmunya tanpa ilmu pasti bleeding and loss,Negative
ternak uangnya endingnya gmn brp? wkkw,ternak uangnya endingnya gmn brp wkkw,Negative
Apakah crypto juga seperti itu,apakah crypto juga seperti itu,Negative
"Sekarang banyak perusahaan yg nilai sahamnya melebihi valuasi asset realnya dan  sistem cashflow-nya banyak direkayasa mulai dari capex, opex, ebitda  oleh oknum lembaga auditor keuangan sehingga laporan keuangan tahunannya ciamik dan menghipnotis pangsa pasar saham. Tapi lihat mulai tahun 2023 akan banyak saham-saham perusahaan terkemuka akan terkoreksi jauh bahkan tumbang pada level rock bottom price.",sekarang banyak perusahaan yg nilai sahamnya melebihi valuasi asset realnya dan sistem cashflow nya banyak direkayasa mulai dari capex opex ebitda oleh oknum lembaga auditor keuangan sehingga laporan keuangan tahunannya ciamik dan menghipnotis pangsa pasar saham tapi lihat mulai tahun 2023 akan banyak saham saham perusahaan terkemuka akan terkoreksi jauh bahkan tumbang pada level rock bottom price,Negative
Yg parah itu crypto koin micin,yg parah itu crypto koin micin,Negative
anjirr ngapain lu buka triknya hahahaha,anjirr ngapain lu buka triknya hahahaha,Negative
Lo mulai di 15 tahun....  Benar kagak🤣🤣🤣🤣😆,lo mulai di 15 tahun benar kagak,Negative
Bocil,bocil,Negative
Sukses sehat selalu utk guru finance sejati pak Timothy...,sukses sehat selalu utk guru finance sejati pak timothy,Positive
Saya mundur dari Dunia Saham. Sudah 3 tahun lebih saya pelajari dan saya Action. Dan sekarang loss banyak. Intinya kagak mau tergiur isu saham naik atau kagak. Hapus Aplikasi.  Note: kecuali invest,saya mundur dari dunia saham sudah 3 tahun lebih saya pelajari dan saya action dan sekarang loss banyak intinya kagak mau tergiur isu saham naik atau kagak hapus aplikasi note kecuali invest,Negative
Gila emang! Sepanjang video gua mikir 'koh tim berani banget dong ya bocorin informasi begini',gila emang sepanjang video gua mikir koh tim berani banget dong ya bocorin informasi begini,Negative
"BEI tempat legal merampok duit ritel, dg peraturan2 yg sangat2 berpihak pada bandar",bei tempat legal merampok duit ritel dg peraturan2 yg sangat2 berpihak pada bandar,Negative
Mantap,mantap,Positive
"Ending yg menarik masbro. ""Tdk ada keberuntungan dalam saham, hanya ada pertarungan . Menjadi pemenang atau berakhir sebagai pecundang. Pertarungan hanya dimenangkan oleh yang berpengetahuan dan sedikit gerakan tambahan. bukan sekedar main saham dengan niat cuan. Tetap.semangat teman"" calon pemodal yang tdk berwatak feodal🖐🖐",ending yg menarik masbro tdk ada keberuntungan dalam saham hanya ada pertarungan menjadi pemenang atau berakhir sebagai pecundang pertarungan hanya dimenangkan oleh yang berpengetahuan dan sedikit gerakan tambahan bukan sekedar main saham dengan niat cuan tetap semangat teman calon pemodal yang tdk berwatak feodal,Positive
Meski ga main saham tp gw punya pandangan spt yg Ronald jelasin Kalo kripto gimana bang apakah sama juga atau beda?,meski ga main saham tp gw punya pandangan spt yg ronald jelasin kalo kripto gimana bang apakah sama juga atau beda,Neutral
"​@iwanwijaya7096justru kata kata itu berlaku untuk treder bitcoin, pertanyaanya mudah sampe kapan kita mau simpan  bitcoin jika fungsi bitcoin sampe sekarang ngak jelas dan menurutku bitcoin rawan dipermainnkan oleh bandar besar semisan elonmus",kata kata itu berlaku untuk treder bitcoin pertanyaanya mudah sampe kapan kita mau simpan bitcoin jika fungsi bitcoin sampe sekarang ngak jelas dan menurutku bitcoin rawan dipermainnkan oleh bandar besar semisan elonmus,Negative
"Koh bahas lagi tentang saham utk edukasi, Krn sekarang sudah menjamur dengan mudah main saham lewat aplikasi android dan web",koh bahas lagi tentang saham utk edukasi krn sekarang sudah menjamur dengan mudah main saham lewat aplikasi android dan web,Neutral
"Iya ya, ampe pucat gtu muke lu Koh.. Btw, lu mmg putih mah, koplak guaa! 🤔😁",iya ya ampe pucat gtu muke lu koh btw lu mmg putih mah koplak guaa,Negative
saluut,saluut,Negative
Syarat pengen jadi bandar. Kalian harus punya uang banyak.,syarat pengen jadi bandar kalian harus punya uang banyak,Neutral
"setuu banget sama apa yg d omongin ko timothy,bedanya kalau aku d forex mendalaminya tapi kejadiannya mirip""",setuu banget sama apa yg d omongin ko timothy bedanya kalau aku d forex mendalaminya tapi kejadiannya mirip,Negative
"Gue kira lu udah 30 an atau 25 ke atas lah ya eh ternyata masih mudah banget. Salut bro, fundamental is the best sih menurut gue juga karena emang market itu dipengaruhi kebanyakan oleh faktor psikologis bukan data dan fakta",gue kira lu udah 30 an atau 25 ke atas lah ya eh ternyata masih mudah banget salut bro fundamental is the best sih menurut gue juga karena emang market itu dipengaruhi kebanyakan oleh faktor psikologis bukan data dan fakta,Positive
Mau saham dan crypto keduanya sama owner dan dev yg memiliki keuntungan terbesar,mau saham dan crypto keduanya sama owner dan dev yg memiliki keuntungan terbesar,Positive
"koh timot mau tanya, koh timot ga tertarik sama forex or gold ya? kenapa klo boleh tay",koh timot mau tanya koh timot ga tertarik sama forex or gold ya kenapa klo boleh tay,Negative
Penipu...nya..High.Education...karena..punya..Gelar..yg..waaaaaaah....tapi.nggak.punya.Hati.Nurani..yg.ditipu...org..yg.kurang.mengerti...Nggak..Tau..yg.Adil.dan.Kebenaran....Penipu..,penipu nya high education karena punya gelar yg wah tapi nggak punya hati nurani yg ditipu org yg kurang mengerti nggak tau yg adil dan kebenaran penipu,Negative
Lebih percaya kualitas perusahaan dalam memanage keuangan perusahaan kalau di dalam banyak tikus ya habis juga,lebih percaya kualitas perusahaan dalam memanage keuangan perusahaan kalau di dalam banyak tikus ya habis juga,Positive
"nice konten koh.. gw terpikir sedikit soal bagaimana saham itu kenapa kadang ada yg pergerakannya aneh... jadi ngerti sekarang knp kadang org ada yg bilang kalo emitten2 tertentu ga bsa sembarangan masuk... harus ""permisi""  tq uda sharing",nice konten koh gw terpikir sedikit soal bagaimana saham itu kenapa kadang ada yg pergerakannya aneh jadi ngerti sekarang knp kadang org ada yg bilang kalo emitten2 tertentu ga bsa sembarangan masuk harus permisi tq uda sharing,Positive
Gimana dengan LHK siapa beliau ini,gimana dengan lhk siapa beliau ini,Negative
Sepertinya bandar juga 😂,sepertinya bandar juga,Neutral
"Kalau OJK menjalankan tugasnya dengan sungguh2, bandar saham tidak akan sebebas ini. Bikin bursa ihsg lebih sehat dan kompetitif",kalau ojk menjalankan tugasnya dengan sungguh2 bandar saham tidak akan sebebas ini bikin bursa ihsg lebih sehat dan kompetitif,Positive
Spertinya skolahnya bukan sd impres deh... Smp nya bukan smp negeri di kampung2 deh...,spertinya skolahnya bukan sd impres deh smp nya bukan smp negeri di kampung2 deh,Negative
Bukunya dpt dri mana?.. Kan harus beli... Kecuali dpt uang lebih dari orang tua...,bukunya dpt dri mana kan harus beli kecuali dpt uang lebih dari orang tua,Positive
Waduh ini masih informasi doank.. blm ada solusi untuk jadi jagonya gimana?,waduh ini masih informasi doank blm ada solusi untuk jadi jagonya gimana,Negative
Part 2 bro...... Dah jual ayam milik nenek buat beli quota....,part 2 bro dah jual ayam milik nenek buat beli quota,Neutral
"Mantap orang satu ini,",mantap orang satu ini,Positive
14:52,14 52,Neutral
11:36 wow,11 36 wow,Positive
"Tapi jangan fullgar hati2 karena banyak orang yang ga suka ilmu yg fullgar""semoga selalu sehat dan di lindungi oleh tuhan di dlm diri lu bro tetap waspada semangat terus memberikan ilmu yg sangat membuka fikiran intelektual manusia""",tapi jangan fullgar hati2 karena banyak orang yang ga suka ilmu yg fullgar semoga selalu sehat dan di lindungi oleh tuhan di dlm diri lu bro tetap waspada semangat terus memberikan ilmu yg sangat membuka fikiran intelektual manusia,Positive
